2015-11-13;Entreprises;13882225479
2015-11-11;Professionnels;3746294820
2015-12-18;Professionnels;5523363437
2015-12-06;Résidentiels;22545973870
2015-10-30;Résidentiels;15903891494
2015-10-20;Entreprises;14862039750
2015-11-01;Professionnels;3813420412
2015-10-23;PME / PMI;4841481780
2015-09-29;Professionnels;4323409934
2014-12-24;Professionnels;6249969528
2013-12-29;Professionnels;5328542196
2014-12-23;Entreprises;13319735680
2015-01-13;PME / PMI;6426579010
2015-01-17;Entreprises;11362707608
2015-01-16;Entreprises;15098387895
2014-11-23;Entreprises;9127737644
2015-05-21;Résidentiels;12902395058
2015-05-15;Entreprises;11000474219
2015-05-30;Entreprises;10148228194
2015-05-20;Professionnels;4107783363
2015-05-28;Résidentiels;11256926782
2015-05-31;Résidentiels;12623638154
2016-05-30;Professionnels;3832843855
2016-06-11;Résidentiels;11280047362
2016-06-11;PME / PMI;3844296375
2018-03-30;Entreprises;14167330007
2018-03-30;Professionnels;5761206149
2018-04-27;Entreprises;13307770817
2018-03-31;Professionnels;5155551245
2018-04-19;Entreprises;13922362391
2018-05-27;Entreprises;8663449125
2018-04-09;Résidentiels;15668714906
2018-04-09;Entreprises;13458844344
2018-04-09;Professionnels;4515256551
2018-05-12;PME / PMI;3645405075
2018-05-12;Professionnels;3468452184
2013-11-01;Entreprises;10094175420
2014-03-21;Résidentiels;16433661592
2013-11-30;Résidentiels;26614882022
2013-11-30;PME / PMI;5055790354
2014-04-06;Résidentiels;14899725237
2014-04-06;Entreprises;8915091447
2014-03-17;Résidentiels;17124333856
2014-02-20;Professionnels;6160283960
2014-03-10;PME / PMI;5111738251
2014-03-10;Professionnels;4991644072
2014-02-17;Entreprises;14543285423
2014-01-02;Entreprises;12250178690
2014-01-08;Résidentiels;20534785391
2013-10-30;PME / PMI;4769662983
2014-01-28;Résidentiels;25486970154
2014-01-28;Professionnels;7023317683
2014-02-16;Résidentiels;23805513942
2014-02-13;Entreprises;15866915927
2014-02-13;PME / PMI;6090765856
2014-02-13;Professionnels;6824417175
2014-01-16;PME / PMI;5933617967
2014-01-31;PME / PMI;6260718728
2014-01-31;Professionnels;6960410112
2014-10-18;Entreprises;10250612156
2014-10-16;Résidentiels;12236246266
2014-10-16;Professionnels;4523264314
2014-09-09;Entreprises;14812590381
2016-10-18;PME / PMI;4994010058
2016-10-18;Professionnels;4778033284
2016-09-13;Résidentiels;10907649306
2016-10-08;PME / PMI;3847392925
2016-10-16;Professionnels;3681132147
2016-10-28;Résidentiels;16670175193
2016-10-10;PME / PMI;4862389673
2016-09-19;PME / PMI;4595162237
2016-09-11;Résidentiels;11801999062
2016-09-11;Professionnels;3049762275
